	accession_number	organism_name	path
3824	MN756855	Salifodinibacter halophilus	Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;Salinisphaeraceae;Salifodinibacter
3825	KC997601	Oceanococcus atlanticus	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Oceanococcus
3826	KY612316	Abyssibacter profundi	Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;Salinisphaeraceae;Abyssibacter
3827	KM034745	Woeseia oceani	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Woeseiaceae;Woeseia
3828	AY690336	Nitrosococcus oceani	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Chromatiaceae;Nitrosococcus
3829	KF537578	Acidithiobacillus albertensis	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
3830	AFOH01000120	Acidithiobacillus thiooxidans	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
3831	AJ278719	Acidithiobacillus ferridurans	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
3832	MN733279	Acidithiobacillus ferrianus	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
3833	AF376020	Acidithiobacillus ferrivorans	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
3834	KR905751	Acidithiobacillus ferriphilus	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
3835	CP001219	Acidithiobacillus ferrooxidans	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
3836	MK193868	Acidithiobacillus sulfuriphilus	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
3837	CP005986	Acidithiobacillus caldus	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus
3838	LC088006	Thermithiobacillus plumbiphilus	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Thermithiobacillaceae;Thermithiobacillus
3839	AJ459801	Thermithiobacillus tepidarius	Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Thermithiobacillaceae;Thermithiobacillus
3840	AB536747	Methylothermus subterraneus	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylothermaceae;Methylothermus
3841	AY829009	Methylothermus thermalis	Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylothermaceae;Methylothermus
3842	DQ486493	Algiphilus aromaticivorans	Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;Algiphilaceae;Algiphilus
